event_date,location,event_type,sub_event_type,actor1,actor2,fatalities,notes,intsum
2016-06-12,Vadodara,Battles,Armed clash,Vadodara Communal Militia (India),Police Forces of India (2014-),0,Five persons were injured and some vehicles torched after a minor accident snowballed into violence between two groups who are fighting over an old property dispute in Wadi-Taiwada area on Sunday night. The mob resorted to heavy stone pelting and attacked each other with swords and knives. The police rushed to the spot and dispersed the rioters by resorting to mild lathi-charge.,
2021-04-07,Toklo,Explosions/Remote violence,Remote explosive/landmine/IED,CPI (Maoist): Communist Party of India (Maoist),,0,"On 7 April 2021, CPI-Maoist cadres blew up 6 payloaders at a road construction site in Langi jungle under Toklo police station limits (West Singhbhum, Jharkhand).","<s> INTSUM Report
Date: 07 April 2021
Location: Toklo, West Singhbhum, Jharkhand, India (Latitude 22.7905, Longitude 85.6615)
Actors Involved:
- Primary: Communist Party of India (Maoist) (CPI-Maoist)
- Secondary: None
- Ally: None
Event Summary: CPI-Maoist cadres detonated improvised explosive devices (IEDs), destroying six payloaders at a road construction site in Langi jungle, Toklo police station jurisdiction.
Outcome: Successful destruction of six payloaders; no reported fatalities.
Casualties/Fatalities: 0
Strategic Implications: The attack highlights the CPI-Maoist's continued operational capability in rural Jharkhand, targeting infrastructure development to disrupt government presence and economic activities. This incident may escalate tensions between Maoist insurgents and security forces in the region.
Analyst Remarks: The use of IEDs indicates a strategic focus on disrupting infrastructure projects, likely to undermine state authority and deter development initiatives. The absence of fatalities suggests a tactical decision to minimize civilian or worker casualties, possibly to avoid backlash.
Recommended Action: Increase surveillance and security measures around critical infrastructure projects in West Singhbhum. Conduct counter-IED operations and community engagement to gather intelligence on insurgent activities. Coordinate with local authorities to enhance protective measures for construction sites."
2016-04-28,Satmasa,Riots,Mob violence,Rioters (India),Civilians (India),0,Congress and CPM leaders alleged that Arambagh Trinamool workers attacked alliance workers and supporters at Satmasha village at the instigation of Trinamool Arambagh block president Swapan Nandi.,"<s>
INTSUM Report
Date: 28 April 2016
Location: Satmasa, Hooghly, West Bengal, India (22.7829, 87.8788)
Actors Involved:
- Primary: Rioters (India)
- Secondary: Civilians (India)
- Alleged Instigators: Trinamool Arambagh block president Swapan Nandi (India)

Event Summary:
On 28 April 2016, alleged Trinamool Congress workers reportedly attacked alliance workers and supporters in Satmasa village, Hooghly, West Bengal. The attack was allegedly instigated by Trinamool Arambagh block president Swapan Nandi. Congress and CPM leaders made these allegations.

Outcome:
No fatalities reported. Specific details on injuries or property damage not provided.

Casualties/Fatalities:
- Fatalities: 0
- Injuries: Unspecified

Strategic Implications:
- Potential escalation of political violence in the region.
- Risk of further inter-party tensions in West Bengal.

Analyst Remarks:
- Allegations suggest targeted political violence, possibly linked to local political rivalries.
- Lack of independent verification may indicate potential bias in reporting.

Recommended Action:
- Monitor for further incidents of political violence in the region.
- Gather additional intelligence to verify claims and assess the broader political climate.
- Engage with local authorities to assess security measures and response capabilities."
2022-03-11,Manchagam,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (India),Civilians (India),0,"On 11 March 2022, supporters of a rival political party forcibly detained a female ward member in Manchagam village (Nabarangpur, Odisha), during polling for the Nayab Sarpanch (deputy head of Panchayat, village-level local self-government body) elections.","INTSUM Report
Date: 2022-03-11
Location: Manchagam, Nabarangpur, Odisha, India (Latitude 19.2269, Longitude 82.7751)
Actors Involved:
- Primary Actor: Unidentified Armed Group (India) (Supporters of a rival political party)
- Secondary Actor: Civilians (India) (Female ward member)
Event Summary:
- Event Type: Violence against civilians
- Sub-Event Type: Abduction/forced disappearance
- The unidentified armed group forcibly detained a female ward member during polling for the Nayab Sarpanch elections.
Outcome:
- The outcome of the incident is not clearly stated, but the female ward member was abducted.
Casualties/Fatalities:
- No fatalities reported.
Strategic Implications:
- The incident may indicate escalating political violence in the region, potentially undermining the democratic process.
Analyst Remarks:
- The identity of the armed group remains unclear, but their actions suggest a connection to the local political landscape.
Recommended Action:
- Increased monitoring of political activities in the region to prevent further incidents of violence.
- Engage local authorities and political leaders to address the root causes of political violence and ensure a peaceful electoral process.
- Investigate the incident to identify the perpetrators and bring them to justice.

Source(s): ACLED Event Record
Source Scale: Medium (Verified by multiple sources)
Notes: The incident occurred on 11 March 2022 in Manchagam village, Nabarangpur district, Odisha, India. The female ward member was abducted by supporters of a rival political party during polling for the Nayab Sarpanch elections. No fatalities were reported, but the incident may indicate escalating political violence in the region."
2020-11-05,Sohana,Protests,Peaceful protest,Protesters (India),,0,"On 5 November 2020, farmers blocked roads in Sohana town (Sahibzada Ajit Singh Nagar, Punjab) as a part of a 'chakka jam', in protest against recently passed farm laws. This 'chakka jam' was called by the AIKSCC.","INTSUM Report
Date: 05 November 2020
Location: Sohana, Sahibzada Ajit Singh Nagar (SAS Nagar), Punjab, India (30.6882° N, 76.7062° E)
Actors Involved:
- Primary: Protesters (India)
- Secondary: None
- Ally: None

Event Summary:
Protesters in Sohana, Punjab, conducted a ""chakka jam"" (road blockade) as part of a nationwide protest against recently passed farm laws. The action was organized by the All India Kisan Sangharsh Coordination Committee (AIKSCC).

Outcome:
Successful disruption of local road traffic for the duration of the protest.

Casualties/Fatalities:
None reported.

Strategic Implications:
- Demonstrates continued farmer unrest and opposition to agricultural reforms.
- Potential for escalation if government does not address grievances.
- Could impact regional logistics and supply chains if protests expand.

Analyst Remarks:
The protest aligns with broader farmer agitation across India, indicating sustained resistance to the farm laws. Monitoring for further escalation or government response is advised.

Recommended Action:
- Monitor for additional protests or government actions.
- Assess potential impact on regional transportation and supply chains.
- Evaluate farmer leadership's next steps and potential alliances."
2018-04-23,Suri,Battles,Armed clash,TMC: Trinamool Congress Party,BJP: Bharatiya Janata Party,1,"In an incident of pre-panchayat election violence, 1 person was fatally shot in a clash between BJP and TMC activists in Suri town, West Bengal, on 23 April.","<s>
INTSUM Report
Date: 23 April 2018
Location: Suri, Birbhum, West Bengal, India (23.908, 87.5277)
Actors Involved:
- Primary: Trinamool Congress Party (TMC)
- Secondary: Bharatiya Janata Party (BJP)

Event Summary:
Armed clash between TMC and BJP activists during pre-panchayat election violence, resulting in one fatality.

Outcome:
TMC-BJP confrontation escalated to armed violence, leading to one fatality.

Casualties/Fatalities:
1 fatality (civilian/activist status unspecified).

Strategic Implications:
- Heightened political tensions in West Bengal ahead of panchayat elections.
- Potential for further violence as election season progresses.

Analyst Remarks:
The incident underscores the volatile political climate in West Bengal, where inter-party clashes are common during election periods. Local authorities should be prepared for additional security measures to prevent further escalation.

Recommended Action:
- Increase surveillance and security presence in Suri and surrounding areas.
- Monitor political rhetoric and party activities for signs of further conflict.
- Coordinate with local law enforcement to mitigate election-related violence."
2018-08-21,Langate,Battles,Armed clash,Kashmir Rebels (India),Military Forces of India (2014-) Rashtriya Rifles,1,"On 21 August 2018, a militant (coded as Kashmir Rebels) was killed in a clash with the Rashtriya Rifles at Ganapora near the Yaroo area of Langate town in Handwara tehsil (Kupwara, J&K).","<s> INTSUM Report

Date: 21 August 2018
Location: Ganapora, Yaroo area, Langate town, Handwara tehsil, Kupwara, Jammu and Kashmir, India
Coordinates: 34.3763° N, 74.3074° E
Actors Involved:
- Primary: Kashmir Rebels (India)
- Secondary: Military Forces of India (2014-) Rashtriya Rifles

Event Summary:
A militant (Kashmir Rebels) was killed in an armed clash with the Rashtriya Rifles near Ganapora in the Yaroo area of Langate town, Handwara tehsil, Kupwara district, Jammu and Kashmir.

Outcome:
The militant was neutralized, with no further details on casualties or damage.

Casualties/Fatalities:
- 1 militant (Kashmir Rebels) killed.

Strategic Implications:
The incident underscores ongoing insurgency and counter-insurgency operations in the region, highlighting persistent security challenges in Jammu and Kashmir.

Analyst Remarks:
The engagement demonstrates the continued presence and activity of militant groups in the Kupwara district, a known hotspot for insurgent activity.

Recommended Action:
Continue monitoring militant movements and counter-insurgency operations in the area. Enhance intelligence gathering to preempt future clashes."
2019-03-18,Reshi Pora,Violence against civilians,Attack,JeM: Jaish-e-Mohammad,Civilians (India),1,"On 18 March 2019, JeM militants shot dead a man outside his home at Reshipora village in Tral tehsil (Pulwama, J&K).","INTSUM Report
Date: 18 March 2019
Location: Reshi Pora, Tral Tehsil, Pulwama District, Jammu and Kashmir, India (33.9293N, 75.1348E)
Actors Involved:
- Primary: Jaish-e-Mohammad (JeM)
- Secondary: Indian Civilians

Event Summary:
On 18 March 2019, Jaish-e-Mohammad (JeM) militants conducted a targeted attack, fatally shooting a civilian outside his residence in Reshi Pora village, Tral Tehsil, Pulwama District, Jammu and Kashmir, India.

Outcome:
Successful execution of the attack by JeM; civilian fatality confirmed.

Casualties/Fatalities:
- 1 civilian killed

Strategic Implications:
- Highlights continued JeM operational capability in the region.
- Reinforces tensions in Jammu and Kashmir, potentially escalating civilian-militant conflict.
- May prompt increased counterterrorism operations by Indian security forces.

Analyst Remarks:
The attack underscores JeM’s ability to operate in Pulwama, a known hotspot for militant activity. The targeting of civilians aligns with JeM’s strategy of destabilizing the region and provoking a security response.

Recommended Action:
- Enhance intelligence surveillance in Pulwama to preempt further attacks.
- Strengthen civilian protection measures in high-risk areas.
- Coordinate with local communities to gather actionable intelligence on militant movements."
2024-06-27,Naorem Leikai,Strategic developments,Disrupted weapons use,Police Forces of India (2014-),Meitei Ethnic Militia (India),0,"Weapons seizure: On 27 June 2024, Singjamei police, Imphal West commandos with CRPF personnel retrieved arms and ammunition belonging to unidentified armed assailants (likely Meitei based on geography) from Naorem Leikai Pena Khongba area in Naorem Leikai village (Imphal West, Manipur) after a search operation amidst ongoing violence between Meitei and Tribal communities in the state. Recovered items included one black polythene containing two small arms, each loaded with six live rounds of ammunition and one hand grenade without detonator.",
2024-05-31,Karigundam,Strategic developments,Disrupted weapons use,Police Forces of India (2014-),Naxal-Maoist Rebels (India),0,"Weapons seizure: On 31 May 2024, Security forces (coded as police) recovered a cache of arms, ammunition, and other materials hidden by Naxal-Maoist cadres in the forest of Karigundam (Sukma District, Chhattisgarh), during an anti-Naxal operation.",
